episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
113,480.0,515,74286,0.1,0.06520687598128651,645.9108548749937,True,False
114,430.0,511,74797,0.1,0.06602045275940327,650.369933540991,True,False
115,630.0,676,75473,0.1,0.06408794875636961,656.2302967080032,True,False
116,410.0,401,75874,0.1,0.06898585799150168,659.6557495410088,True,False
117,1060.0,659,76533,0.1,0.06645449627981041,665.5482084160321,True,False
118,1320.0,983,77516,0.1,0.07090139664270408,674.6333254160127,True,False
119,810.0,505,78021,0.1,0.07637406234437275,678.9325570410001,True,False
120,710.0,638,78659,0.1,0.07366425602011523,684.5611561660189,True,False
121,320.0,436,79095,0.1,0.07273192257714381,688.472206040984,True,False
122,860.0,561,79656,0.1,0.07937386266041732,693.216520624992,True,False
123,660.0,538,80194,0.1,0.06582029498835552,697.7764013750129,True,False
124,450.0,436,80630,0.1,0.0689892219123217,701.444053416024,True,False
125,610.0,559,81189,0.1,0.0786376805576895,706.0932506659883,True,False
126,1350.0,653,81842,0.1,0.06901405350607963,713.7357482500374,True,False
127,500.0,413,82255,0.1,0.07055428353798332,717.2883825000026,True,False
128,1830.0,1005,83260,0.1,0.07188802186976231,725.9574697909993,True,False
129,1130.0,872,84132,0.1,0.06709478111988908,733.4980212079827,True,False
130,770.0,635,84767,0.1,0.06957491997723715,739.3153089160332,True,False
131,910.0,784,85551,0.1,0.07341449905890135,746.021834040992,True,False
132,460.0,390,85941,0.1,0.06967337838165005,749.4590367909987,True,False
133,1190.0,734,86675,0.1,0.08470960718177543,756.0465606250218,True,False
134,450.0,485,87160,0.1,0.07497187563386119,760.1502494160086,True,False
135,1780.0,971,88131,0.1,0.07769536930482743,768.6612845830387,True,False
136,1100.0,698,88829,0.1,0.07817807413637638,774.5938274160144,True,False
137,1210.0,852,89681,0.1,0.08775257666381032,782.1269326250185,True,False
138,1470.0,934,90615,0.1,0.07931165624601774,790.1389763330226,True,False
139,1280.0,814,91429,0.1,0.08425238256470538,797.3033177499892,True,False
140,550.0,504,91933,0.1,0.0801577856246796,801.6426985409926,True,False
141,300.0,341,92274,0.1,0.07899228222668171,804.4111841660342,True,False
142,940.0,852,93126,0.1,0.07865576031552234,811.606656457996,True,False
143,1870.0,910,94036,0.1,0.07371791015509843,819.3827790829819,True,False
144,580.0,603,94639,0.1,0.07882232206563154,824.3390262080356,True,False
145,1200.0,754,95393,0.1,0.08626116389931036,830.7415187910083,True,False
146,640.0,507,95900,0.1,0.07067693851330853,835.2054282500176,True,False
147,1510.0,933,96833,0.1,0.07573764545787046,843.8065676250262,True,False
148,1680.0,999,97832,0.1,0.0801068358682096,852.5399170410237,True,False
149,620.0,571,98403,0.1,0.08343927199545671,857.514559208008,True,False
150,530.0,633,99036,0.1,0.0804640851012847,862.980383749993,True,False
151,1140.0,900,99936,0.1,0.07781287001238929,872.4810766660376,True,False
152,410.0,419,100355,0.1,0.07639526117306489,876.2079517910024,True,False
153,850.0,793,101148,0.1,0.07897591278256483,883.3477650830173,True,False
154,900.0,1138,102286,0.1,0.08136468492841846,893.0123398749856,True,False
155,760.0,632,102918,0.1,0.08942545582599278,898.6907355000149,True,False
156,610.0,556,103474,0.1,0.08429292115054542,903.5417697079829,True,False
157,1170.0,925,104399,0.1,0.07710904037797606,911.70343116601,True,False
158,640.0,484,104883,0.1,0.07665415550004845,915.7764987500268,True,False
